PREFERRED_NAME,MoleculeID,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,LogD55_pred,LogD74_pred,LogOH_pred,LogKoc_pred,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz,MolWeight,LogBCF_pred,BioDeg_LogHalfLife_pred,ReadyBiodeg_pred,LogKM_pred,FUB_pred,Clint_pred
"1,2-Dichloroethylene",DTXSID8024991,1.83392830003915,-67.7312106266744,54.9370139624503,2.14329280485998,-1.36259688565776,-2.38535780047708,0,2.80923576243598,1.83392830003915,1.83392830003915,-11.5770077254621,1.74339087380229,6,4,2,0,0,0,0,0,0,0,0,0,0,0,19.579,0.541,95.953355424,1.00534064903792,0.941536520825097,0,-0.830983054391551,0.344314998161888,1.09411207099658
"1,2-Dimethylnapthalene",DTXSID1058717,4.34090873115098,28.46,266.5,-2.16763010937431,-4.60765502910881,-3.25964681130009,15.9955406000446,5.98079632331618,4.34090873115098,4.34090873115098,-10.354557185042,3.51531529413112,24,12,12,0,0,10,2,0,0.166666666666667,0,0,0,1,0,11.0042,0.871,156.093900384,2.67121319226759,1.15496945081249,0,0.381136509569698,0.023932849136147,1.10631001109757
"1,2-Epoxybutane",DTXSID6020569,1.07860247178093,-100.157251837049,55.3456271920881,2.23120639251655,0.180354566740212,-3.88018271043754,0,2.6759707451113,1.07860247178093,1.07860247178093,-11.3534642805158,1.15683462820736,13,5,4,1,0,0,1,1,1,1,1,0,0,12.53,18.5395,0.423,72.057514876,0.467197226644498,0.630697059731381,1,-0.829483573821544,0.918952938084406,1.13661791884418
Triglycidyl isocyanurate,DTXSID4026262,0.083447171242612,93.1800650066167,325.950480417297,-7.06421043859078,-1.35182219094702,-6.60346658334191,9.04937014030081,11.7032932309461,0.083434517469198,0.083447011938751,-10.8845455614762,2.16990957674,36,21,12,6,3,0,4,4,0.75,6,9,0,0,98.52,65.652,-0.467,297.0960852,0.389693641555277,0.591002304868008,0,0.091285771894022,0.863970857366341,-1.77817269831533
"1,3-Dichloropropane",DTXSID6022004,1.9958777033606,-84.7320830698468,109.674031917248,1.44879809361902,-1.69495646145036,-2.94795808519194,1.70722383560007,3.17923840658159,1.9958777033606,1.9958777033606,-12.1778609286528,1.69319943832529,11,5,3,0,0,0,0,0,1,2,0,0,0,0,23.5672,0.441,111.984655552,0.878438644024116,0.794457798275534,0,-1.01446688687084,0.479560275052083,1.09421151676811
"1,3-Dimethylnaphthalene",DTXSID9060360,4.40192191430398,28.46,266.5,-2.08142067157748,-4.59268983892921,-3.22329544380069,15.7481134455895,5.98079632331618,4.40192191430398,4.40192191430398,-10.3194169778623,3.51503382538021,24,12,12,0,0,10,2,0,0.166666666666667,0,0,0,1,0,11.0042,0.871,156.093900384,2.67088969541117,1.13525971661848,0,0.404387173273763,0.023563193229442,1.10510186939633
"1,4-Dimethylnaphthalene",DTXSID8035423,4.34833843425248,28.46,266.5,-2.11938646100249,-4.57094495896834,-3.27803092737026,14.9341072583639,5.98079632331618,4.34833843425248,4.34833843425248,-10.3615064548104,3.4494150720777,24,12,12,0,0,10,2,0,0.166666666666667,0,0,0,1,0,11.0042,0.871,156.093900384,2.67121319226759,1.1444555058598,0,0.359322748547053,0.023632574519473,-0.123325474896077
"1,5-Naphthalene diisocyanate",DTXSID8040145,2.70365108773071,118.982843911684,329.567568042738,-4.78389558068696,-3.80185671022108,-6.09962626082457,17.8911892968278,5.80417336280996,2.70362794273308,2.70365079634478,-11.6694186669546,2.14147158014525,22,16,12,2,2,10,2,0,0,2,4,0,1,58.86,14.883,2.011,210.042927432,1.47522499399628,0.701711773297951,0,0.296753287477433,0.064948145957029,0.951521116007316
"1,6-Dimethylnaphthalene",DTXSID7022415,4.40540154799054,28.46,266.5,-1.74965871196552,-4.61666639735826,-3.20218124413562,15.9897598244202,5.98079632331618,4.40540154799054,4.40540154799054,-10.320437789993,3.51333183870264,24,12,12,0,0,10,2,0,0.166666666666667,0,0,0,1,0,11.0042,0.871,156.093900384,2.67088969541117,1.13356002665478,0,0.38788568408742,0.024173265001187,1.2450513396455
"1,6-Diisocyanatohexane",DTXSID4024143,0.923166172187829,-41.4349096300309,247.564138615088,-1.94993617105094,-2.65295733347478,-5.95268476656855,10.6749708705354,3.61482146921214,0.922790463589607,0.894291203083167,-10.7572396321567,1.37541599753293,24,12,8,2,2,0,0,0,1,7,4,0,0,58.86,35.5802,1.267,168.089877624,0.727466908608235,0.565713779142088,1,-0.209856754973291,0.566901604510834,0.72596022737399
